Document 1,Document 2,Similarity (%),Status
student_01.txt,student_02.txt,52.68,Moderate Similarity
student_04.txt,student_05.txt,26.37,Low Similarity
student_06.txt,student_07.txt,17.66,Low Similarity
student_06.txt,student_12.txt,8.89,Low Similarity
student_01.txt,student_04.txt,8.57,Low Similarity
student_01.txt,student_03.txt,8.23,Low Similarity
student_03.txt,student_11.txt,8.08,Low Similarity
student_01.txt,student_05.txt,8.06,Low Similarity
student_02.txt,student_04.txt,7.72,Low Similarity
student_02.txt,student_12.txt,7.72,Low Similarity
student_01.txt,student_12.txt,7.48,Low Similarity
student_02.txt,student_05.txt,6.91,Low Similarity
student_02.txt,student_03.txt,6.76,Low Similarity
student_02.txt,student_11.txt,6.34,Low Similarity
student_02.txt,student_07.txt,6.27,Low Similarity
student_01.txt,student_07.txt,6.05,Low Similarity
student_07.txt,student_12.txt,5.67,Low Similarity
student_05.txt,student_07.txt,5.58,Low Similarity
student_01.txt,student_06.txt,5.53,Low Similarity
student_01.txt,student_11.txt,5.44,Low Similarity
student_05.txt,student_06.txt,5.17,Low Similarity
student_03.txt,student_06.txt,5.1,Low Similarity
student_03.txt,student_07.txt,4.76,Low Similarity
student_03.txt,student_04.txt,4.64,Low Similarity
student_04.txt,student_06.txt,4.55,Low Similarity
student_07.txt,student_11.txt,4.23,Low Similarity
student_08.txt,student_09.txt,4.07,Low Similarity
student_03.txt,student_05.txt,4.03,Low Similarity
student_06.txt,student_11.txt,3.92,Low Similarity
student_02.txt,student_06.txt,3.89,Low Similarity
student_04.txt,student_07.txt,3.79,Low Similarity
student_03.txt,student_12.txt,3.4,Low Similarity
student_04.txt,student_11.txt,3.39,Low Similarity
student_03.txt,student_08.txt,2.98,Low Similarity
student_03.txt,student_10.txt,2.89,Low Similarity
student_05.txt,student_11.txt,2.78,Low Similarity
student_04.txt,student_12.txt,2.61,Low Similarity
student_02.txt,student_10.txt,2.53,Low Similarity
student_05.txt,student_12.txt,2.36,Low Similarity
student_08.txt,student_10.txt,2.31,Low Similarity
student_09.txt,student_11.txt,2.25,Low Similarity
student_08.txt,student_11.txt,2.07,Low Similarity
student_01.txt,student_08.txt,1.89,Low Similarity
student_01.txt,student_10.txt,1.53,Low Similarity
student_04.txt,student_08.txt,1.5,Low Similarity
student_04.txt,student_10.txt,1.47,Low Similarity
student_02.txt,student_08.txt,1.34,Low Similarity
student_11.txt,student_12.txt,1.32,Low Similarity
student_06.txt,student_10.txt,1.26,Low Similarity
student_06.txt,student_09.txt,1.12,Low Similarity
student_05.txt,student_10.txt,1.0,Low Similarity
student_07.txt,student_10.txt,1.0,Low Similarity
student_06.txt,student_08.txt,0.83,Low Similarity
student_08.txt,student_12.txt,0.57,Low Similarity
student_07.txt,student_08.txt,0.49,Low Similarity
student_10.txt,student_11.txt,0.49,Low Similarity
student_02.txt,student_09.txt,0.36,Low Similarity
student_01.txt,student_09.txt,0.35,Low Similarity
student_03.txt,student_09.txt,0.34,Low Similarity
student_05.txt,student_08.txt,0.0,Low Similarity
student_05.txt,student_09.txt,0.0,Low Similarity
student_04.txt,student_09.txt,0.0,Low Similarity
student_07.txt,student_09.txt,0.0,Low Similarity
student_09.txt,student_10.txt,0.0,Low Similarity
student_09.txt,student_12.txt,0.0,Low Similarity
student_10.txt,student_12.txt,0.0,Low Similarity
